<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230417;000000;222.97;228.2;222.91;228.1;78.562.510
230418;000000;227.89;232.76;227.05;232.66;97.459.980
230419;000000;232.67;237.37;231.1;232.95;115.494.020
230420;000000;233.32;236.47;229.84;236.28;85.046.740
230421;000000;237.4;238.85;233.52;235.17;115.606.560
230424;000000;235.09;236.4;234.1;235.1;30.405.040
230425;000000;235.16;235.82;234.21;235.3;32.063.750
230426;000000;235.55;235.95;234.91;235.21;24.351.620
230427;000000;235.51;240.74;235.13;240.38;68.224.840
230428;000000;240.86;241.58;237.66;240.38;49.494.960
230502;000000;242.2;245;237.4;242.62;83.246.880
230503;000000;242.85;242.99;234;235.77;76.740.930
230504;000000;236.51;239.74;236.05;238.89;53.006.840
230505;000000;239.19;240.66;237.3;237.7;61.314.710
230508;000000;238.65;239.86;237.36;238.27;47.676.110
230510;000000;216.51;227.5;215.7;227.06;154.134.860
230511;000000;228.57;235.38;223.94;229.32;197.037.380
230512;000000;231.05;232.47;226.15;229.29;69.831.820
230515;000000;230.54;231.75;228.52;231.7;48.873.370
230516;000000;232.4;232.86;229.57;230.62;36.429.340
230517;000000;229.86;230.97;228.75;230.55;31.635.370
230518;000000;231.72;234.49;230.72;231.7;55.909.060
230519;000000;230.98;232.3;229.81;231.27;31.540.330
230522;000000;232.2;232.78;230;231;26.351.890
230523;000000;231.24;237.29;230.21;236.43;62.996.030
230524;000000;237.49;246.13;236.26;246.06;85.850.770
230525;000000;246.11;247.4;242.65;243.76;70.582.820
230526;000000;243.49;249.64;242.81;248.1;69.113.640
230529;000000;249.77;252.59;248.85;251.18;67.591.330
230530;000000;248.84;250.85;243.8;244.65;82.871.290
230531;000000;244;247.18;240.27;246.17;72.797.140
230601;000000;247;247;240.57;241.66;51.897.410
230602;000000;242.01;245.5;240.77;243.95;46.465.000
230605;000000;243.51;244.15;235.1;237.12;78.650.640
230606;000000;236;242.1;232.54;240.91;100.337.100
230607;000000;241.23;244.39;238.56;241.25;63.082.450
230608;000000;241.3;242.78;239.55;241.77;29.851.820
